time,Temperature,Humidity,AQ
11:20:18,29.1,68.5,17543.48
11:20:48,29.1,68.4,17352.11
11:21:18,29.2,68.7,17162.74
11:21:48,29.3,68.3,17352.11
11:22:18,29.3,68.0,17543.48
11:22:48,29.4,67.7,17736.88
11:23:18,29.5,67.2,17736.88
11:23:48,29.5,67.3,17932.31
11:24:18,29.6,66.9,18129.81
11:24:48,29.7,66.4,18129.81
11:25:18,29.7,66.2,18329.41
11:25:48,29.7,66.1,18531.13
11:26:18,29.7,66.1,18531.13
11:26:48,29.7,66.1,18734.97
11:27:18,29.7,65.9,18531.13
11:27:48,29.7,65.9,18734.97
11:28:18,29.7,65.9,18940.97
11:28:48,29.7,65.7,19149.17
11:29:18,29.7,65.9,19359.57
11:29:49,29.7,65.5,19149.17
11:30:19,29.8,65.5,19572.18
11:30:49,29.8,65.1,20223.71
11:31:19,29.8,64.7,19787.08
11:31:49,29.7,64.7,20223.71
11:32:19,29.7,64.6,20669.68
11:32:49,29.7,64.4,20896.23
11:33:19,29.7,64.3,20896.23
11:33:49,29.7,64.4,21356.58
11:34:19,29.7,64.2,21356.58
11:34:49,29.8,64.2,21826.76
11:35:19,29.8,64.1,21826.76
11:35:49,29.8,64.1,22065.63
11:36:19,29.8,63.9,22065.63
11:36:49,29.8,63.8,22307.04
11:37:19,29.8,63.5,22797.61
11:37:49,29.7,63.5,23046.83
11:38:19,29.7,63.2,23046.83
11:38:49,29.7,63.4,23046.83
11:39:19,29.6,63.4,23046.83
11:39:49,29.6,63.6,23046.83
11:40:19,29.7,63.7,22797.61
11:40:49,29.7,63.8,23046.83
11:41:19,29.7,64.0,23298.72
11:41:49,29.8,64.0,41380.24
11:42:19,29.9,63.9,15717.36
11:42:49,29.9,63.9,15545.08
11:43:19,30.0,63.6,21590.43
11:43:49,30.0,63.5,81622.9
11:44:19,30.2,63.4,16789.93
11:44:49,30.3,63.0,85341.74
11:45:19,30.3,62.9,88248.71
11:45:49,30.3,62.9,91261.15
11:46:19,30.5,62.6,13166.26
11:46:49,30.5,62.3,12452.82
11:47:19,30.5,62.2,74690.07
11:47:50,30.6,62.3,16424.87
11:48:20,30.6,62.4,12177.73
11:48:50,30.7,62.3,11775.74
11:49:20,30.8,62.3,27716.05
11:49:50,30.8,62.2,56120.94
11:50:20,30.9,62.2,85341.74
11:50:50,30.9,61.9,84395.44
11:51:20,30.9,61.7,12314.55
11:51:50,31.0,61.7,77214.05
11:52:20,31.0,61.8,88248.71
11:52:50,31.0,61.7,12733.73
11:53:20,31.0,61.6,90245.04
11:53:50,31.0,61.6,12177.73
11:54:20,31.0,61.6,52562.53
11:54:50,31.0,61.6,35942.6
11:55:20,31.0,61.6,12314.55
11:55:50,31.0,61.8,12314.55
11:56:20,31.0,62.1,19787.08
11:56:50,31.0,62.0,41380.24
11:57:20,31.0,61.8,24333.44
11:57:50,30.9,62.0,41380.24
11:58:20,30.9,61.9,23298.72
11:58:50,31.0,61.8,16245.2
11:59:20,31.0,61.6,32254.05
11:59:50,31.0,61.8,22065.63
12:00:20,30.9,62.0,15717.36
12:00:50,30.9,61.9,15374.59
12:01:20,31.0,61.9,15205.89
12:01:50,31.0,62.0,28631.8
12:02:20,31.0,62.0,35555.43
12:02:50,31.0,61.9,25138.9
12:03:20,31.0,62.0,15205.89
12:03:50,31.0,62.3,21590.43
